,l8_id,l8_acq_id
0,11,11
41,10_11,11_4
125,34,12
131,33_34,12_5
319,16_15,14_7
320,15,7
1305,16,14
1943,15_16p,7_14p
2499,33,5
2516,36_37,1_10
2519,37,1
2530,26_27,11_4
2540,27,11
2545,26,4
2663,26_27p,4_11p
2691,27_26p,11_4p
3377,32_33,5_14
3695,33_34p,5_12p
3973,40_39,6_15
3978,39,15
4006,28_29,9_2
4008,28,2
4174,27_28,2_11
4266,32,14
4287,32_33p,14_5p
4303,23,15
4339,23_22p,15_8p
4352,22_23,8_15
4418,31,7
4437,30,16
4442,29_30,16_9
4443,29,9
4453,30_31,16_7
4483,30_31p,16_7p
4531,32_31,14_7
4681,27_28p,11_2p
5152,43,11
5181,42_43,11_4
5223,45,9
5233,45_46,16_9
5480,25_26,4_13
5481,26_25p,4_13p
5957,18_19,3_12
5958,18,12
5965,17_18,12_5
5969,20_21,1_10
5972,20,10
6020,20_21p,10_1p
6203,19,3
6239,19_18p,3_12p
6326,19_20,10_3
6365,20_19p,10_3p
7475,29_28p,9_2p
8292,28_27p,2_11p
8627,38,8
8638,38_39,8_15
9481,11_12,2_11
9485,12,2
9510,12_11p,2_11p
9573,11_12p,11_2p
9659,24_23,6_15
10623,11_10p,11_4p
10944,19_20p,3_10p
11000,24,6
12051,32_31p,14_7p
12405,25,13
12406,25_26p,13_4p
12643,12_13,9_2
12673,12_13p,2_9p
13126,18_19p,12_3p
14365,24_25,13_6
15730,25_24p,13_6p
15992,34_35,3_12
16103,35,3
16203,34_35p,12_3p
18173,35_34p,3_12p
18205,35_36,10_3
18505,36,10
18634,35_36p,3_10p
18777,33_32p,5_14p
20339,24_25p,6_13p
21299,25p_26p,4p_13p
26929,44_45,9_2
26963,44,2
27009,44_45p,2_9p
27104,40_41,13_6
28349,14,16
28350,14_15,16_7
28368,14_15p,16_7p
29990,22,8
30857,43_44,2_11
30862,44_43p,2_11p
31772,17,5
31797,17_18p,5_12p
32790,18_17p,12_5p
41671,30_29p,16_9p
42560,29_30p,9_16p
43172,46,16
43204,45_44p,9_2p
44121,14_13p,16_9p
44123,13_14,16_9
44259,15_14p,7_16p
46471,10,4
46556,10_11p,4_11p
49418,34_33p,12_5p
50606,37_38,8_1
50770,43_44p,11_2p
54160,37_38p,1_8p
56308,22_23p,8_15p
57204,21,1
57205,21_22,8_1
57558,21_22p,1_8p
57893,38_39p,8_15p
57926,38_37p,8_1p
58110,37_36p,1_10p
58700,24_23p,6_15p
58971,23_24p,15_6p
60900,16_17,5_14
61124,17_16p,5_14p
62591,40,6
62966,21_20p,1_10p
66152,39_38p,15_8p
67203,40_41p,6_13p
71902,28_29p,2_9p
73893,13,9
73996,13_14p,9_16p
74328,13_12p,9_2p
90688,36_35p,10_3p
133165,31_30p,7_16p
141951,16_15p,14_7p
147151,16_17p,14_5p
152282,42,4
152294,42_43p,4_11p
152360,43_42p,11_4p
152806,22_21p,8_1p
157929,41_42,4_13
157943,41,13
157955,41_42p,13_4p
158045,41_40p,13_6p
173662,36_37p,10_1p
194801,40_39p,6_15p
195975,31_32p,7_14p
224481,39_40p,15_6p
334112,42_41p,4_13p
363771,32_33p_31p,14_5p_7p
394235,32p_33p_34p_35p,3p_12p_5p_14p
402987,38p_39p,8p_15p
429605,45_46p,9_16p
432975,46_45p,16_9p
433077,46_47,16_7
433352,46_47p,16_7p
433708,47,7
433714,48,14
433720,48_47,14_7
433922,47_48p,7_14p
434003,47_46p,7_16p
443298,29_28p_30p,9_16p_2p
445298,17p_18p,12p_5p
445317,24p_23p,6p_15p
445333,16p_15p,14p_7p
446489,36p_37p_38p,8p_1p_10p
447008,20p_21p,1p_10p
447155,21p_22p_23p_24p_25p_26p_27p,1p_4p_6p_8p_11p_13p_15p
447156,19p_20p_21p_22p,8p_1p_10p_3p
447157,17p_18p_19p_20p,10p_3p_12p_5p
447158,16p_17p_18p_15p,12p_5p_14p_7p
447160,24p_21p_22p_23p,8p_1p_6p_15p
